Scaf1	81141	83620	CM11.1	20678	23151
Scaf1	95575	102164	CM11.1	53576	60210
Scaf1	102541	105324	CM11.1	60215	62992
Scaf1	115227	119024	CM11.1	69704	73546
Scaf1	147702	151780	CM11.1	91235	95312
Scaf1	174450	177104	CM11.1	112816	115424
Scaf1	177540	180615	CM11.1	116905	119986
Scaf1	183949	190948	CM11.1	123665	130677
Scaf1	206802	210032	CM11.1	145086	148312
Scaf1	213657	217703	CM11.1	150800	154863
Scaf1	226073	229599	CM11.1	159631	163231
Scaf1	229598	233594	CM11.1	163891	167929
Scaf1	233581	239926	CM11.1	169426	175769
Scaf1	248093	250531	CM11.1	177647	180153
Scaf1	251117	253557	CM11.1	180153	182593
Scaf1	258618	261160	CM11.1	182588	185118
Scaf1	262013	265550	CM11.1	185491	189048
Scaf1	271009	275647	CM11.1	202512	207124
Scaf1	276835	279443	CM11.1	207381	210016
Scaf1	291673	297009	CM11.1	214524	219843
Scaf1	302913	306955	CM11.1	222141	226169
Scaf1	331060	333573	CM11.1	254205	256702
Scaf1	333710	344673	CM11.1	256683	267714
Scaf1	361090	366379	CM11.1	282314	287624
Scaf1	372337	382471	CM11.1	290360	300502
Scaf1	444360	447116	CM11.1	322071	324745
Scaf1	460024	466319	CM11.1	327084	333324
Scaf1	472088	474634	CM11.1	337022	339575
Scaf1	475289	479464	CM11.1	340332	344577
Scaf1	488697	493089	CM11.1	346094	350416
Scaf1	496322	499117	CM11.1	352727	355547
Scaf1	510828	513568	CM11.1	360911	363707
Scaf1	514358	520828	CM11.1	364321	370812
Scaf1	520820	525651	CM11.1	372182	377080
Scaf1	529028	535691	CM11.1	380718	387312
Scaf1	539614	545851	CM11.1	389132	395338
Scaf1	546473	554566	CM11.1	396124	404211
Scaf1	557339	562855	CM11.1	407532	413071
Scaf1	565612	581137	CM11.1	420219	435657
Scaf1	599871	606690	CM11.1	462277	469088
Scaf1	607232	611677	CM11.1	469719	474149
Scaf1	625786	633219	CM11.1	490671	498117
Scaf1	643615	648822	CM11.1	512692	517790
Scaf1	664777	666813	CM11.1	532469	534510
Scaf1	666801	668807	CM11.1	539761	541761
Scaf1	669853	676526	CM11.1	543327	550097
Scaf1	676720	690646	CM11.1	552735	566529
Scaf1	690628	694743	CM11.1	567234	571317
Scaf1	700556	707459	CM11.1	575857	582802
Scaf1	708878	726571	CM11.1	586876	604483
